,a,b,c,d,e,f,g,h,i,bin_a,bin_b,bin_c,bin_d,bin_,Y1,Y2
0,0.6545660898758693,0.21586654007394693,-0.09750709628755334,0.059312877344319614,0.5250064901449136,1.0,1.0,0.0,0.0,2,2,1,2,2,0,1
1,-0.6197765094144966,0.8174346500573431,-0.11845846233502247,2.2956527784724625,-0.4972383423397705,0.0,1.0,0.0,0.0,1,3,1,3,3,1,0
2,0.4034795598120954,-1.0078577998791989,0.08552971288537488,-0.21077066242812953,-0.4972383423397705,1.0,1.0,0.0,0.0,2,0,2,1,1,1,0
3,0.38269809910737834,-0.5918230275558094,0.7552422567036946,-0.25178436171177515,-0.4972383423397705,1.0,1.0,0.0,0.0,2,1,3,1,1,1,1
4,-1.266863022960582,0.49767009796913236,0.03167573575474629,-0.012345041621160572,-0.03722816772166262,1.0,0.0,0.0,1.0,0,2,1,1,1,0,1
5,-1.9475402803040947,-1.5252417314136542,-0.45618012888526704,0.833198059176186,-0.4972383423397705,1.0,0.0,0.0,1.0,0,0,1,3,3,0,1
6,-0.09541750251303721,-0.783945672976093,-1.1470637610536598,-0.15659686910027065,-0.4972383423397705,1.0,1.0,0.0,0.0,1,0,0,1,1,1,1
7,1.0013634713189234,0.695613224208097,-0.12159994041429047,-0.8612436004824006,-0.4972383423397705,0.0,1.0,0.0,0.0,3,3,1,0,0,1,0
8,-1.0992939663510555,-0.08537017524913755,1.4908968675127199,0.49313241021348025,-0.4972383423397705,1.0,0.0,0.0,1.0,0,1,3,2,2,1,1
9,-0.9674065168020859,0.43541641743110343,1.5711404271081442,-0.4024962413105282,-0.4972383423397705,1.0,1.0,0.0,0.0,0,2,3,1,1,1,0
10,0.24645000458443755,-0.6188117186072426,0.3393502401617709,-0.7619466896115673,-0.4972383423397705,1.0,1.0,0.0,0.0,2,1,2,0,0,1,1
11,0.37392570543847775,-0.43561002955275463,0.9569416565232102,0.24076245689712275,0.11610855715104003,1.0,1.0,0.0,0.0,2,1,3,2,2,0,1
12,-0.4084358177303417,0.8366880382284702,0.6725288710955918,0.06099031216539878,0.3027793526482431,1.0,1.0,0.0,0.0,1,3,3,2,2,0,1
13,0.4803644990396593,1.49736421484641,-0.8253051297464065,-0.05944034385028209,-0.4972383423397705,1.0,1.0,0.0,0.0,2,3,0,1,1,1,1
14,-2.785524832276826,-1.6864745413856324,-1.1588383533116484,1.7246944950013754,-0.4972383423397705,1.0,0.0,0.0,1.0,0,0,0,3,3,1,1
15,-0.2110795971900266,-1.6611147732142983,0.6028587924962749,-1.1776142471944508,-0.4972383423397705,1.0,0.0,1.0,0.0,1,0,3,0,0,0,1
