,C1,C2,C4,C7,%_long_sentences,%_long_words,%_positive_words,%_negative_words,%_uncertain_words,C3',C5',C6',one_hot_Manufacturing,one_hot_Other,one_hot_Public Services,Y1,Y2
0,122.0,1.0,0.029074273483673547,51.345,0.6404255319148936,0.054249547920433995,0.004874597059517258,0.009198836386508374,0.01092853211730482,1,3.8643445283018867,11.11111111111111,1,0.0,0,0,1
1,259.0,1.0,-0.013351642245815755,25.936,0.6447534766118836,0.0513950073421439,0.0032580763582966228,0.011104992657856094,0.010875550660792951,0,7.868826298996885,0.0,1,0.0,0,1,0
2,90.0,1.0,0.02071500183158597,7.378,0.6368159203980099,0.06176358798935766,0.009433912528312282,0.006271379703534778,0.011402508551881414,0,3.3691336,0.0,1,0.0,0,1,0
3,209.0,1.0,0.020023137256796594,8.526,0.5396341463414634,0.06162973725632643,0.009433912528312282,0.00714372200024216,0.013318803729265045,0,3.299697111111111,0.0,1,0.0,0,1,1
4,80.0,1.0,-0.034894701316965815,632.298,0.5874125874125874,0.048550236008091704,0.004517869184086311,0.0100472016183412,0.011260957518543493,1,3.7262686060606063,5.0,0,0.0,1,0,1
5,94.0,1.0,-0.057556076660705446,197.591,0.6431372549019608,0.04528029334963053,0.003444635813100728,0.00533362964609145,0.010056114228568254,1,5.724393974841669,0.0,0,0.0,1,0,1
6,128.0,1.0,0.004105524336536758,5.146,0.7656565656565657,0.04429496128950374,0.005203706054067775,0.006726741972331514,0.008567077040233533,0,3.463094909090909,0.0,1,0.0,0,1,1
7,91.0,1.0,0.040619988496656566,197.86753723404263,0.8156578762702034,0.053138660085038605,0.004899340815962943,0.010689470871191877,0.010867628719045074,0,2.42146875,0.0,1,0.0,0,1,0
8,100.0,1.0,-0.02931592628539684,279.6,0.5403225806451613,0.06190508337271316,0.003915479646256667,0.0083710254506177,0.01579693512455276,0,4.816591,0.0,0,0.0,1,1,1
9,106.0,1.0,-0.02492507736968316,494.008,0.5142857142857142,0.050251806437486314,0.00886796584190935,0.009853295379899277,0.01609371578716882,1,3.0566081818181816,0.0,1,0.0,0,1,0
10,99.0,1.0,0.015487112031121256,0.32,0.5454545454545454,0.06651693158258466,0.005010366275051832,0.007083621285418107,0.012093987560469938,0,2.5466858571428572,0.0,1,0.0,0,1,1
11,126.0,1.0,0.019731083271667373,26.499,0.6844660194174758,0.04518492672714585,0.00366364270760642,0.007501744591765527,0.013956734124214934,1,4.237290933333333,6.666666666666667,1,0.0,0,0,1
12,140.0,1.0,-0.0063156046994000984,0.074,0.5552884615384616,0.06873698163226662,0.0076690020829388375,0.01117212649119485,0.013065707252414316,0,3.867637297297297,8.695652173913043,1,0.0,0,0,1
13,260.625,1.0,0.023274685510332935,166.896,0.6089743589743589,0.048784414748027694,0.005259485858423228,0.013739065099554554,0.009230934363763215,1,3.6382196363636363,0.0,1,0.0,0,1,1
14,233.0,1.0,-0.08217366219725758,510.192,0.7047781569965871,0.03577334362253335,0.0054018300077169,0.005071105721530151,0.008543710726491016,1,7.868826298996885,0.0,0,0.0,1,1,1
15,125.0,1.0,0.0002548563257563511,571.192,0.5204460966542751,0.05204460966542751,0.0055762081784386614,0.005111524163568773,0.012856257744733582,1,2.062121440677966,0.0,0,0.0,0,0,1
16,77.0,1.0,-0.0063156046994000984,363.465,0.6317135549872123,0.05325914149443561,0.006359300476947536,0.011835364776541247,0.011747041158805864,1,2.3087591,0.0,1,0.0,0,1,1
17,92.0,1.0,0.036830796877746964,170.27,0.6117424242424242,0.03869488014205386,0.003995264871263687,0.005548978987866233,0.008656407221071322,1,7.634886144578314,0.0,1,0.0,0,1,1
18,207.0,1.0,-0.01269239188194706,132.5,0.521484375,0.03671687778158165,0.004450530640191715,0.0066757959602875725,0.007788428620335502,1,3.8091866,12.5,0,0.0,1,0,1
19,174.0,1.0,0.045262646375410436,197.86753723404263,0.6257928118393234,0.05564814143902616,0.0047822621549163105,0.009854358379827548,0.013187450184769219,0,4.740619083969466,0.0,1,0.0,0,1,0
20,78.0,1.0,0.05404000937680397,774.43925,0.5972927241962775,0.04715333566189312,0.003981837233670974,0.005099545930841775,0.006147397834439399,1,4.431482352941177,6.666666666666667,1,0.0,0,0,1
21,68.0,1.0,0.002545640136170962,64.606,0.5340501792114696,0.04688689298218907,0.004414674988582737,0.014157405997868777,0.014766326685949155,0,2.973739,0.0,0,0.0,1,0,1
22,91.0,1.0,0.03582773310561604,0.176,0.6048387096774194,0.058778509107607534,0.008878003979794888,0.00596969233124139,0.015306903413439462,0,3.8566664,0.0,1,0.0,0,1,1
23,101.0,1.0,-0.0017460164572123166,3.88,0.6996197718631179,0.05499360539472154,0.007324729682595047,0.005929543076386466,0.010812696198116497,0,3.000277571428571,0.0,1,0.0,0,0,1
24,76.0,1.0,-0.003957877372461608,2.23,0.6023166023166023,0.057854406130268196,0.004597701149425287,0.010855683269476373,0.015197956577266922,0,4.117523818181819,0.0,1,0.0,0,1,1
25,260.625,1.0,-0.037115500330326075,94.739,0.6753507014028056,0.057410964977094726,0.006723806709029112,0.0065021427515885915,0.017511452637801093,1,4.318243666666667,0.0,1,0.0,0,1,1
26,40.0,1.0,0.025763708515827013,345.322,0.6337760910815939,0.05391176862588298,0.0030654404904704785,0.012061841929894708,0.011128881780621085,0,2.3954952333333335,5.263157894736842,1,0.0,0,0,1
27,113.0,1.0,0.035642375510738435,428.516,0.6801872074882995,0.04858255788790305,0.006762605496645748,0.008872538411599221,0.00995455529106254,1,4.645752815396892,0.0,0,0.0,1,1,1
28,75.0,1.0,-0.015947285678912314,18.643,0.6972704714640199,0.051739813207703114,0.008513100256219522,0.008430448797421275,0.013389536325316143,0,2.21785225,0.0,1,0.0,0,1,1
29,42.0,1.0,-0.037115500330326075,257.056,0.6539792387543253,0.05220314988497611,0.004777915413201203,0.00513183507343833,0.009968737096679054,1,3.962826,0.0,1,0.0,0,1,0
