,C2,C3',one_hot_Manufacturing,one_hot_Other,one_hot_Public Services,0,1,2,3,4,5,6,7,8,9,Y1,Y2
0,1.0,1,1,0,0,0.06912902295988016,0.6545660898758693,-0.39827455553009733,0.14650789735899314,0.3107399706172518,-0.10590169963739736,0.2172502185666735,-0.09964461970821757,0.05931287734431976,1.2692388486338169,0,1
1,0.0,0,1,0,0,1.1929603822655146,-0.6197765094144966,-0.7472531000573689,0.20566149207273357,-0.109923700374771,-1.3527699922193845,0.8193038220831846,-0.12060440671580203,2.2956527784724625,-0.7878971380115842,1,0
2,1.0,0,1,0,0,-0.38501430289272287,0.4034795598120954,-1.3896433622348017,0.09736778096356641,1.4180578008188431,2.5751413681995357,-1.0074617240261452,0.08346575725337858,-0.2107706624281294,-0.7878971380115842,1,0
3,1.0,0,1,0,0,0.8727523285087981,0.38269809910737834,-1.3157440348834681,-1.1611072979421586,1.3983326859789558,2.019205326208285,-0.5910911922298683,0.7534474779171346,-0.251784361711775,-0.7878971380115842,1,1
4,1.0,1,0,0,1,-0.5608472402602397,-1.266863022960582,0.8847351112188369,-0.5576668799606557,-0.5291477119781045,-0.34109185877301257,0.499281205081655,0.02959013465140259,-0.012345041621160426,1.1982248889398552,0,1
5,1.0,1,0,0,1,-0.3200973569037169,-1.9475402803040947,0.2903621830156348,0.18354129833255167,-1.0110277360713902,-1.1804516008999517,-1.5252632085337867,-0.4584618133737638,0.8331980591761861,-0.7878971380115842,0,1
6,1.0,0,1,0,0,0.14079980290919156,-0.09541750251303724,-1.573747101617932,1.965993362027088,-1.1562326789303055,0.09628825427777828,-0.78336888958919,-1.149623131660458,-0.1565968691002705,-0.7878971380115842,1,1
7,0.0,0,1,0,0,-0.36851850497674105,1.0013634713189234,0.582963054683112,2.9331890548675807,0.14925153038669275,-0.09023239306807426,0.6973840806592544,-0.12374714744598973,-0.8612436004824005,-0.7878971380115842,1,0
8,1.0,0,0,0,1,-0.2277263806766432,-1.0992939663510555,0.4677605525351638,-1.1526155291951807,1.4389094810658978,-0.7839558665105039,-0.08422960884097642,1.489397769595954,0.4931324102134804,-0.7878971380115842,1,1
9,1.0,1,1,0,0,-0.14073937770494194,-0.9674065168020859,0.75861622421249,-1.4697418483682279,-0.27839322324374705,1.7460096957296853,0.436977282918759,1.5696735813993408,-0.402496241310528,-0.7878971380115842,1,0
